59868.84829,5,6.86,0.28,0.740942643,1,ATA,7.29481789
59869.00261,8,7.64,0.4,0.862378107,1,ATA,7.44913789
59869.00261,10,7.48,0.56,0.934400342,1,ATA,7.44913789
59869.18354,272,4.16,0.51,0.65814588,1,SMA,7.63006789
59869.18354,341,2.96,1.3,3.9,0,SMA,7.63006789
59869.27222,0.8875,3.192,0.056,0.324075053,1,ASKAP,7.718761574
59869.81909,15.5,5.588,0.035,0.281583664,1,AMI,8.26561789
59870.13029,229.54,3.83,0.74,0.833240061,1,SMA,8.57681789
59870.68547,15.5,4.524,0.053,0.23232615,1,AMI,9.13199789
59871.69036,15.5,4.223,0.045,0.215891923,1,AMI,10.13688789
59871.92004,3,5.63,0.51,0.759650578,1,ATA,10.36656789
59871.92004,5,5.33,0.28,0.602070594,1,ATA,10.36656789
59871.98197,97.5,3.384,0.024,0.170893651,1,ALMA,10.42849789
59872.02343,8,4.47,0.38,0.586693276,1,ATA,10.46995789
59872.02343,10,4.56,0.67,0.810454194,1,ATA,10.46995789
59872.65207,0.82,3.26,0.31,0.449862201,1,MeerKAT,11.09859789
59872.65207,1.28,4.957,0.034,0.49686466,1,MeerKAT,11.09859789
59872.72502,15.5,3.927,0.062,0.205906101,1,AMI,11.17154789
59872.72502,15.5,3.927,0.062,0.205906101,1,AMI,11.17154789
59872.72502,15.5,3.927,0.062,0.205906101,1,AMI,11.17154789
59873.69251,15.5,3.458,0.085,0.192663982,1,AMI,12.13903789
59873.69251,15.5,3.458,0.085,0.192663982,1,AMI,12.13903789
59873.69251,15.5,3.458,0.085,0.192663982,1,AMI,12.13903789
59873.85976,1.51,3.522,0.056,0.184789637,1,e-MERLIN,12.30628789
59873.95747,8.3,3.02,0.077,0.169499263,1,VLBA,12.40399789
59873.98717,12.8,3.3396,0.0243,0.168738882,1,VLA,12.43369789
59873.98717,14.3,3.3872,0.0284,0.171724691,1,VLA,12.43369789
59873.98717,15.9,3.4531,0.0359,0.176347835,1,VLA,12.43369789
59873.98717,17.4,3.3569,0.0466,0.174193869,1,VLA,12.43369789
59873.99217,9,3.5399,0.1398,0.225546603,1,VLA,12.43869789
59873.99217,11,3.33,0.1877,0.25090544,1,VLA,12.43869789
59873.99727,5,4.4097,0.0332,0.22297057,1,VLA,12.44379789
59873.99727,7,3.8477,0.0488,0.198477778,1,VLA,12.44379789
59874.00347,2.5,5.316,0.0442,0.269449958,1,VLA,12.44999789
59874.00347,3.5,4.8179,0.0408,0.244325686,1,VLA,12.44999789
59874.27222,0.8875,3.168,0.046,0.320122227,1,ASKAP,12.71876157
59874.86429,15.5,3.829,0.09,0.211549291,1,AMI,13.31081789
59874.86429,15.5,3.829,0.09,0.211549291,1,AMI,13.31081789
59874.86429,15.5,3.829,0.09,0.211549291,1,AMI,13.31081789
59874.92629,3,3.79,0.58,0.692849912,1,ATA,13.37281789
59874.92629,5,4.39,0.5,0.665372828,1,ATA,13.37281789
59875.25972,0.8875,3.17,0.043,0.31990311,1,ASKAP,13.70626157
59875.69118,15.5,3.661,0.096,0.20669616,1,AMI,14.13770789
59875.69118,15.5,3.661,0.096,0.20669616,1,AMI,14.13770789
59875.69118,15.5,3.661,0.096,0.20669616,1,AMI,14.13770789
59875.94323,3,3.17,0.47,0.56691181,1,ATA,14.38975789
59875.94323,5,3.64,0.26,0.447320914,1,ATA,14.38975789
59876.04689,8,2.84,0.36,0.458536803,1,ATA,14.49341789
59876.04689,10,3.38,0.59,0.679958822,1,ATA,14.49341789
59876.27,45,0.68,0.08,0.08,1,ATCA,-
59876.27778,16.7,2.85,0.21,0.253783865,1,ATCA,14.72430789
59876.27778,21.2,2.34,0.19,0.223134489,1,ATCA,14.72430789
59876.28264,45,0.88,0.165,0.170765922,1,ATCA,14.72916789
59876.28264,45.8,0.804,0.146,0.151433286,1,ATCA,14.72916789
59876.28264,47,0.769,0.202,0.205626853,1,ATCA,14.72916789
59876.29097,34,1.68,0.24,0.254275441,1,ATCA,14.73749789
59876.89197,97.5,2.324,0.021,0.118082344,1,ALMA,15.33849789
59876.89713,15.5,2.63,0.14,0.192073554,1,AMI,15.34365789
59876.89713,15.5,2.63,0.14,0.192073554,1,AMI,15.34365789
59876.89713,15.5,2.63,0.14,0.192073554,1,AMI,15.34365789
59877.49576,74.26,2.476,0.217,0.329233595,1,NEOMA,15.94228789
59877.49576,89.74,2.297,0.212,0.312579734,1,NEOMA,15.94228789
59877.66774,15.5,3.362,0.072,0.182870473,1,AMI,16.11426789
59877.66774,15.5,3.362,0.072,0.182870473,1,AMI,16.11426789
59877.66774,15.5,3.362,0.072,0.182870473,1,AMI,16.11426789
59877.71497,0.82,3.13,0.16,0.351523826,1,MeerKAT,16.16149789
59877.71497,1.28,4.036,0.047,0.406327405,1,MeerKAT,16.16149789
59878.2094,5.07,2.153,0.083,0.135932051,1,e-MERLIN,16.65592789
59878.76626,136.26,1.842,0.064,0.195001641,1,NEOMA,17.21278789
59878.76626,151.74,1.649,0.08,0.183281232,1,NEOMA,17.21278789
59879.03837,9,2.695,0.0375,0.139870699,1,VLA,17.48489789
59879.03837,11,2.559,0.0441,0.135336664,1,VLA,17.48489789
59879.04817,5,3.133,0.0714,0.172154531,1,VLA,17.49469789
59879.04817,7,2.88,0.069,0.159677801,1,VLA,17.49469789
59879.05347,2.5,3.501,0.0713,0.189013736,1,VLA,17.49999789
59879.05347,3.5,3.336,0.0554,0.175759495,1,VLA,17.49999789
59879.58017,0.4,1.2753,0.3939,0.3990278,1,GMRT,18.02669789
59879.66782,15.5,3.29,0.11,0.197889489,1,AMI,18.11434789
59879.66782,15.5,3.29,0.11,0.197889489,1,AMI,18.11434789
59880.6734,15.5,2.66,0.11,0.172594901,1,AMI,19.11992789
59882.94647,8.3,2.122,0.045,0.115248471,1,VLBA,21.39299789
59883.37817,1.26,2.8737,0.1116,0.181933887,1,GMRT,21.82469789
59883.43297,0.75,1.8933,0.2081,0.22861993,1,GMRT,21.87949789
59883.898,3,2.43,0.46,0.520239368,1,ATA,22.34452789
59883.898,5,2.28,0.24,0.331034741,1,ATA,22.34452789
59884.08731,8,2.12,0.33,0.392229525,1,ATA,22.53383789
59884.08731,10,3.8,0.51,0.636003145,1,ATA,22.53383789
59885.75,1.5,2.302,0.033,0.119737254,1,e-MERLIN,24.19652789
59886.56906,15.5,1.904,0.08,0.124350472,1,AMI,25.01558789
59887.25625,16.7,1.83,0.1,0.135544273,1,ATCA,25.70277789
59887.25625,21.2,1.73,0.1,0.13222046,1,ATCA,25.70277789
59887.25694,33,1.58,0.08,0.112432202,1,ATCA,25.70346789
59887.25694,35,1.55,0.09,0.118769735,1,ATCA,25.70346789
59887.56841,15.5,1.614,0.05,0.094934135,1,AMI,26.01493789
59888.20972,0.8875,2.276,0.045,0.232005948,1,ASKAP,26.65626157
59888.5643,15.5,1.512,0.1,0.125360919,1,AMI,27.01082789
59889.62963,15.5,1.47,0.1,0.124105802,1,AMI,28.07615789
59889.88217,12.8,1.6941,0.0584,0.102885845,1,VLA,28.32869789
59889.88217,14.3,1.6702,0.0575,0.101391174,1,VLA,28.32869789
59889.88217,15.9,1.6422,0.0625,0.103190611,1,VLA,28.32869789
